iter	RMSE
0	13.87630929
1	12.98130414
2	12.13938903
3	11.39552792
4	10.72482775
5	10.22996707
6	9.729466051
7	9.256975204
8	8.854456326
9	8.453424988
10	8.071779073
11	7.762602129
12	7.489348779
13	7.2358601
14	7.023327778
15	6.843359902
16	6.654301713
17	6.492195813
18	6.351079597
19	6.237719489
20	6.126957736
21	6.035163571
22	5.943735458
23	5.860234579
24	5.795253949
25	5.731398445
26	5.670768963
27	5.618192319
28	5.555459882
29	5.516335078
30	5.470862159
31	5.425656471
32	5.393766098
33	5.361164597
34	5.324018904
35	5.297994119
36	5.271438609
37	5.255735317
38	5.235977678
39	5.217032669
40	5.200898312
41	5.184729652
42	5.163318059
43	5.152748724
44	5.138861302
45	5.118805473
46	5.093685619
47	5.076230977
48	5.059632303
49	5.042148842
50	5.028771572
51	5.011557812
52	4.991492039
53	4.978675316
54	4.967333209
55	4.960348699
56	4.940660068
57	4.922866962
58	4.910935326
59	4.898723476
60	4.893056176
61	4.886656606
62	4.877090044
63	4.864237964
64	4.859430129
65	4.850485827
66	4.83673237
67	4.828912331
68	4.82336175
69	4.815605735
70	4.793962855
71	4.78903989
72	4.783474875
73	4.77186924
74	4.765233374
75	4.758739201
76	4.750851867
77	4.743390994
78	4.731653505
79	4.723953518
80	4.711702046
81	4.707385594
82	4.705763272
83	4.696417561
84	4.693210426
85	4.688765059
86	4.679682307
87	4.67359875
88	4.672209109
89	4.665580765
90	4.657138996
91	4.656086153
92	4.644843918
93	4.642917892
94	4.64158481
95	4.628330693
96	4.6221919
97	4.609764529
98	4.597403016
99	4.591722792
