iter	Passed	Remaining
0	0	91
1	1	87
2	2	81
3	3	77
4	3	75
5	4	73
6	5	71
7	6	70
8	6	69
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	63
15	11	62
16	12	61
17	13	60
18	13	59
19	14	58
20	15	57
21	16	57
22	16	56
23	17	55
24	18	54
25	18	54
26	19	53
27	20	52
28	21	51
29	21	50
30	22	50
31	23	49
32	23	48
33	24	47
34	25	47
35	26	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	37
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	45	27
62	46	27
63	46	26
64	47	25
65	48	24
66	48	24
67	49	23
68	50	22
69	51	21
70	51	21
71	52	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	58	14
80	59	13
81	59	13
82	60	12
83	61	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
