iter	RMSE
0	14.47989006
1	14.10167631
2	13.75317634
3	13.38956399
4	13.05191371
5	12.7549384
6	12.44911944
7	12.17945698
8	11.89415973
9	11.61474221
10	11.32854247
11	11.08771376
12	10.83711684
13	10.59897516
14	10.36044583
15	10.11784105
16	9.90945261
17	9.701378849
18	9.497731522
19	9.309309892
20	9.168802099
21	8.999828409
22	8.844019667
23	8.675866727
24	8.52588523
25	8.385753282
26	8.253321551
27	8.125589874
28	7.999304526
29	7.877560428
30	7.776093116
31	7.66940829
32	7.562333233
33	7.466087496
34	7.365972281
35	7.269634874
36	7.174150505
37	7.100926249
38	7.016538808
39	6.945548435
40	6.871888595
41	6.802133327
42	6.738505687
43	6.675253031
44	6.611729404
45	6.555095862
46	6.493369855
47	6.43703608
48	6.381797189
49	6.331036879
50	6.284035591
51	6.241645285
52	6.193973097
53	6.148465109
54	6.104299276
55	6.065450307
56	6.023379641
57	5.99234436
58	5.959339876
59	5.928423777
60	5.900100809
61	5.871366757
62	5.842254142
63	5.812395307
64	5.78240264
65	5.753705868
66	5.72940329
67	5.703794183
68	5.677951217
69	5.65076817
70	5.629880919
71	5.611399018
72	5.593871003
73	5.572632669
74	5.554002624
75	5.536624812
76	5.520347922
77	5.499272369
78	5.479785417
79	5.46368704
80	5.449203136
81	5.438216565
82	5.421730653
83	5.408514849
84	5.395839983
85	5.382522108
86	5.373307562
87	5.361977656
88	5.348606606
89	5.337150306
90	5.328105342
91	5.318438297
92	5.30986101
93	5.300990285
94	5.291457351
95	5.282257786
96	5.272755006
97	5.272221909
98	5.264610302
99	5.254140662
100	5.243622714
101	5.233408982
102	5.223559138
103	5.212416798
104	5.2085004
105	5.200708546
106	5.194144311
107	5.184641325
108	5.175827274
109	5.165654234
110	5.155052949
111	5.146032913
112	5.140101232
113	5.133434981
114	5.128045824
115	5.12175086
116	5.116806493
117	5.112307281
118	5.10678188
119	5.102130443
120	5.096507828
121	5.092497262
122	5.086316575
123	5.07601898
124	5.072915223
125	5.068176154
126	5.062934131
127	5.058633754
128	5.052468719
129	5.048265504
130	5.040891577
131	5.037233442
132	5.029800989
133	5.024629654
134	5.019695198
135	5.013554927
136	5.007764998
137	5.001864185
138	4.995743866
139	4.991367076
140	4.98584787
141	4.981449989
142	4.97484148
143	4.968692443
144	4.959331868
145	4.953825117
146	4.948342473
147	4.945779753
148	4.941827335
149	4.941429134
150	4.938154076
151	4.934302807
152	4.930060312
153	4.927264049
154	4.921979485
155	4.914905779
156	4.910342022
157	4.904329521
158	4.901794757
159	4.897760207
160	4.891937615
161	4.887634796
162	4.880999976
163	4.875803182
164	4.872084285
165	4.869444603
166	4.866127527
167	4.863124833
168	4.857122168
169	4.852924119
170	4.851076323
171	4.84632637
172	4.840449161
173	4.836601783
174	4.832575245
175	4.829843499
176	4.824459516
177	4.820867949
178	4.8176439
179	4.81272373
180	4.808443523
181	4.804346185
182	4.800585505
183	4.795814111
184	4.792955012
185	4.788336757
186	4.784997323
187	4.78078809
188	4.777791713
189	4.775462894
190	4.77030902
191	4.763993592
192	4.762524887
193	4.75581355
194	4.753583526
195	4.747751832
196	4.7430501
197	4.7408481
198	4.740116986
199	4.736265004
200	4.732459811
201	4.729828623
202	4.726769052
203	4.723607521
204	4.720262938
205	4.717062885
206	4.716006238
207	4.712297713
208	4.708594879
209	4.706963506
210	4.70422928
211	4.699816595
212	4.692819684
213	4.689808733
214	4.68422953
215	4.677430195
216	4.674920563
217	4.674260521
218	4.669687489
219	4.665655486
220	4.662163987
221	4.659048412
222	4.653939579
223	4.649901581
224	4.648579927
225	4.645823864
226	4.645178902
227	4.641457054
228	4.638653325
229	4.63292426
230	4.628098202
231	4.624083721
232	4.619288971
233	4.614915652
234	4.60912786
235	4.603935147
236	4.600193046
237	4.599209695
238	4.595067473
239	4.591029188
240	4.588904782
241	4.585988767
242	4.585087561
243	4.578920572
244	4.576134673
245	4.575489122
246	4.575007411
247	4.574145367
248	4.572553698
249	4.57054662
250	4.565644777
251	4.564876268
252	4.558727935
253	4.557031161
254	4.552957004
255	4.550328456
256	4.546376661
257	4.544608083
258	4.541423368
259	4.537743588
260	4.535915555
261	4.532657662
262	4.526718049
263	4.52593952
264	4.521002156
265	4.520586074
266	4.514931994
267	4.514378875
268	4.51220375
269	4.509557089
270	4.507244005
271	4.506719684
272	4.502573017
273	4.501649485
274	4.497728174
275	4.497216804
276	4.495224804
277	4.49081154
278	4.487611605
279	4.483204035
280	4.478950064
281	4.473589036
282	4.469425079
283	4.464091064
284	4.459458482
285	4.458932983
286	4.457020557
287	4.456014093
288	4.452615523
289	4.450639036
290	4.446551978
291	4.443276438
292	4.440260421
293	4.439788331
294	4.436819307
295	4.436186761
296	4.433600944
297	4.429505531
298	4.426993564
299	4.421560302
300	4.419672112
301	4.415602505
302	4.412769093
303	4.409941926
304	4.406880933
305	4.403589582
306	4.401048644
307	4.400732117
308	4.394600053
309	4.392948618
310	4.390641281
311	4.38871182
312	4.388149567
313	4.384201201
314	4.379338762
315	4.376863594
316	4.370840299
317	4.367989053
318	4.36768927
319	4.367044766
320	4.364246037
321	4.363483421
322	4.360931811
323	4.357179575
324	4.352932221
325	4.348719361
326	4.345323009
327	4.33969827
328	4.33623016
329	4.333969717
330	4.330342076
331	4.324939522
332	4.322908108
333	4.318863346
334	4.318486502
335	4.315323902
336	4.311873621
337	4.308388107
338	4.30498557
339	4.302509495
340	4.299506862
341	4.29846279
342	4.297004741
343	4.295394086
344	4.294982433
345	4.290853244
346	4.285241974
347	4.284621967
348	4.280093065
349	4.276938168
350	4.272434375
351	4.268718026
352	4.26729202
353	4.264401649
354	4.260856543
355	4.256037298
356	4.252833389
357	4.252181739
358	4.247186075
359	4.243127258
360	4.240351023
361	4.237030595
362	4.234887559
363	4.23328093
364	4.229128845
365	4.225533742
366	4.22208769
367	4.21734278
368	4.215059598
369	4.209820563
370	4.205665735
371	4.202185753
372	4.198659029
373	4.198404705
374	4.195375842
375	4.195160165
376	4.194101434
377	4.192521012
378	4.190537227
379	4.189717619
380	4.186772542
381	4.18385632
382	4.179083017
383	4.175446781
384	4.171709774
385	4.169860931
386	4.16747654
387	4.166271188
388	4.1645484
389	4.162213296
390	4.159814221
391	4.15910813
392	4.15676356
393	4.152597589
394	4.148809837
395	4.146203935
396	4.143330938
397	4.140032723
398	4.137142915
399	4.136061369
400	4.132408947
401	4.13000119
402	4.12734134
403	4.124682617
404	4.12358575
405	4.122119736
406	4.119884366
407	4.116183347
408	4.114154396
409	4.110873993
410	4.105872368
411	4.102991833
412	4.097959607
413	4.097770421
414	4.094955289
415	4.093533935
416	4.088695751
417	4.086047668
418	4.085684823
419	4.085517998
420	4.079496282
421	4.076872539
422	4.07389779
423	4.070773339
424	4.066909133
425	4.064519286
426	4.062593531
427	4.057600809
428	4.055887368
429	4.053761811
430	4.049664904
431	4.047675033
432	4.047489101
433	4.045302268
434	4.039429
435	4.037963795
436	4.035785371
437	4.03356733
438	4.032267143
439	4.03191562
440	4.027670937
441	4.023194692
442	4.01979286
443	4.01765298
444	4.016002349
445	4.014984323
446	4.014701625
447	4.014541135
448	4.011758697
449	4.010936384
450	4.00931002
451	4.005936255
452	4.003119866
453	3.999555415
454	3.998405324
455	3.996283695
456	3.994986856
457	3.992045078
458	3.9889734
459	3.982963125
460	3.982531178
461	3.981472164
462	3.978103314
463	3.976662743
464	3.973050951
465	3.972868257
466	3.970252082
467	3.968969635
468	3.968074613
469	3.964328925
470	3.962692424
471	3.960683897
472	3.960085521
473	3.957243046
474	3.954995418
475	3.950877966
476	3.947138131
477	3.946994227
478	3.94325869
479	3.942630037
480	3.941362038
481	3.939701983
482	3.937699663
483	3.934668689
484	3.933261401
485	3.93201477
486	3.92879683
487	3.92571719
488	3.92303195
489	3.922363425
490	3.919732446
491	3.918833111
492	3.917605536
493	3.915682693
494	3.915214388
495	3.911439726
496	3.909125962
497	3.90592621
498	3.901501659
499	3.898641552
500	3.897553977
501	3.894722234
502	3.893063379
503	3.889717871
504	3.887688312
505	3.886815302
506	3.886384462
507	3.884452171
508	3.880662393
509	3.879334086
510	3.875918699
511	3.874017791
512	3.870896025
513	3.868340803
514	3.864790044
515	3.86404697
516	3.862104152
517	3.859672843
518	3.858029058
519	3.855022208
520	3.851175018
521	3.848473157
522	3.847437756
523	3.842849091
524	3.838521376
525	3.837042357
526	3.836682162
527	3.835526025
528	3.832567824
529	3.828554134
530	3.82694693
531	3.82480572
532	3.824139134
533	3.822993845
534	3.8217199
535	3.821357801
536	3.821048422
537	3.818623656
538	3.816461818
539	3.815684895
540	3.812915007
541	3.810294374
542	3.809232847
543	3.805930169
544	3.805798112
545	3.803530208
546	3.800399674
547	3.796288975
548	3.793246709
549	3.791439935
550	3.790925018
551	3.788502074
552	3.787223762
553	3.785195795
554	3.782189785
555	3.779748915
556	3.779215707
557	3.777847249
558	3.776268664
559	3.772825165
560	3.771281614
561	3.768465391
562	3.767832913
563	3.763827846
564	3.760873274
565	3.760751017
566	3.758571843
567	3.755715044
568	3.750607653
569	3.749602653
570	3.748769196
571	3.747393829
572	3.747274499
573	3.743922633
574	3.741404701
575	3.736682251
576	3.734912293
577	3.733342208
578	3.730841558
579	3.729739685
580	3.728694036
581	3.723548689
582	3.722716697
583	3.719634786
584	3.718198102
585	3.714414191
586	3.711576623
587	3.710553495
588	3.705711836
589	3.70221388
590	3.700146817
591	3.69750031
592	3.694833685
593	3.692457685
594	3.691747733
595	3.69032415
596	3.689076938
597	3.686367971
598	3.683947851
599	3.680109584
600	3.678800566
601	3.675418418
602	3.673269332
603	3.673175858
604	3.672203536
605	3.668693516
606	3.667220617
607	3.666859644
608	3.66638579
609	3.665235053
610	3.661833687
611	3.659865363
612	3.659516119
613	3.656893702
614	3.653583824
615	3.650945908
616	3.649119386
617	3.645525645
618	3.642441101
619	3.641050892
620	3.639011447
621	3.638884675
622	3.636843752
623	3.63531612
624	3.633783572
625	3.631363828
626	3.628699874
627	3.626089338
628	3.623836515
629	3.622577479
630	3.618989855
631	3.617032638
632	3.615558633
633	3.613698033
634	3.608960118
635	3.607941902
636	3.604271631
637	3.600512074
638	3.597524257
639	3.595085625
640	3.593294432
641	3.592956581
642	3.590788581
643	3.590451987
644	3.588062862
645	3.58600002
646	3.584862927
647	3.582494898
648	3.580855224
649	3.579015894
650	3.576002782
651	3.575470901
652	3.574654232
653	3.573772476
654	3.571585899
655	3.570007244
656	3.568845434
657	3.568543056
658	3.565661384
659	3.559760553
660	3.558724813
661	3.556088004
662	3.551142791
663	3.548473227
664	3.547532378
665	3.546735743
666	3.545101264
667	3.544772084
668	3.541501949
669	3.537361453
670	3.535525181
671	3.535359807
672	3.533733177
673	3.530315817
674	3.529193009
675	3.52747482
676	3.527167482
677	3.523762013
678	3.522197531
679	3.521458897
680	3.520704788
681	3.519377096
682	3.516956553
683	3.515983486
684	3.514575428
685	3.512148301
686	3.511455298
687	3.509277674
688	3.508065525
689	3.506944916
690	3.506456427
691	3.506233291
692	3.505497583
693	3.505178825
694	3.504127657
695	3.503014295
696	3.500147193
697	3.499277439
698	3.498419887
699	3.497651509
700	3.497179702
701	3.495622307
702	3.494023176
703	3.490901705
704	3.490515598
705	3.48836663
706	3.485984043
707	3.481408873
708	3.480912605
709	3.478395969
710	3.477165362
711	3.474996096
712	3.474771811
713	3.473902191
714	3.47263791
715	3.47158505
716	3.468934062
717	3.466115481
718	3.465669521
719	3.463970555
720	3.462943657
721	3.460017516
722	3.456858032
723	3.456675606
724	3.455903477
725	3.453094596
726	3.453023798
727	3.449979465
728	3.448032284
729	3.445717083
730	3.443086874
731	3.441762645
732	3.438958992
733	3.437841729
734	3.436171755
735	3.435051192
736	3.431860968
737	3.429291598
738	3.428432395
739	3.426502359
740	3.424401287
741	3.423581316
742	3.42217466
743	3.417954892
744	3.416220753
745	3.41547076
746	3.413900455
747	3.413379976
748	3.412220799
749	3.410899593
750	3.408285347
751	3.407706667
752	3.404843844
753	3.404193618
754	3.403079449
755	3.400898577
756	3.398486562
757	3.396793186
758	3.396370412
759	3.394849205
760	3.393956464
761	3.391707501
